Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,2.2n,
"C10, C11, C12, C19, C20, C7, C8, C9",1210,8,"10uF, 100V",
"C13, C14",CP_Radial_D10.0mm_P5.00mm,2,"47uF, 100V",
"C15, C16, C17, C18",CP_Radial_D16.0mm_P7.50mm,4,"470uF, 100V",
"C3, C5",0805,2,10u,
C4,0603,1,"1n, 0.1%",
C6,0603,1,0.1u,
"D1, D2",D_SMB_Handsoldering,2,"60V, SK56B",
J1,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,1,Conn_01x02,
"J2, J3, J4",MountingHole_5mm_Pad_TopBottom,3,Conn_01x01,
"L1, L2, L3, L4",IND_ETQP5M100YFC,4,10u,
R1,0603,1,33k,
"R10, R11",0603,2,10,
"R12, R13, R14, R15",0603,4,1.5k,
R2,0603,1,330,
R3,0603,1,3.9k,
"R4, R8",0603,2,12k,
R5,0603,1,3.3k,
R6,0603,1,82k,
R7,0603,1,4.7k,
R9,0603,1,"5.6k, 0.1%",
RV1,Potentiometer_Bourns_TC33X_Vertical,1,10k,
"TP1, TP10, TP11, TP12, TP13, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Keystone_5005-5009_Compact,13,TestPoint,
U1,SOIC127P600X175-8N,1,AD820ARZ,AD820ARZ-REEL-REEL7
U2,SOIC8_INF,1,IRS2153DSPBF,
"U3, U4",MOSFET_7DP-T1-GE3_VIS,2,SIR870DP-T1-GE3,
